File Path,CPU Usage
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_61_100/VexiiRiscv_61_100_build/log/chipfinish.log,2554
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_61_100/VexiiRiscv_61_100_build/log/route.log,20142
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_61_100/VexiiRiscv_61_100_build/log/placement.log,10221
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_61_100/VexiiRiscv_61_100_build/log/cts.log,21557
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_61_100/VexiiRiscv_61_100_build/log/read_rtl.log,222
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_61_100/VexiiRiscv_61_100_build/log/floorplan.log,2214
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_351_100/VexiiRiscv_351_100_build/log/chipfinish.log,10091
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_351_100/VexiiRiscv_351_100_build/log/route.log,76086
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_351_100/VexiiRiscv_351_100_build/log/placement.log,37222
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_351_100/VexiiRiscv_351_100_build/log/cts.log,42426
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_351_100/VexiiRiscv_351_100_build/log/read_rtl.log,90
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_351_100/VexiiRiscv_351_100_build/log/floorplan.log,7480
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_274_100/VexiiRiscv_274_100_build/log/chipfinish.log,1921
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_274_100/VexiiRiscv_274_100_build/log/route.log,12541
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_274_100/VexiiRiscv_274_100_build/log/placement.log,7897
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_274_100/VexiiRiscv_274_100_build/log/cts.log,50781
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_274_100/VexiiRiscv_274_100_build/log/read_rtl.log,178
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_274_100/VexiiRiscv_274_100_build/log/floorplan.log,1881
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_355_100/VexiiRiscv_355_100_build/log/chipfinish.log,2911
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_355_100/VexiiRiscv_355_100_build/log/route.log,18810
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_355_100/VexiiRiscv_355_100_build/log/placement.log,11498
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_355_100/VexiiRiscv_355_100_build/log/cts.log,11935
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_355_100/VexiiRiscv_355_100_build/log/read_rtl.log,72
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_355_100/VexiiRiscv_355_100_build/log/floorplan.log,2549
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_209_100/VexiiRiscv_209_100_build/log/chipfinish.log,2237
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_209_100/VexiiRiscv_209_100_build/log/route.log,15437
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_209_100/VexiiRiscv_209_100_build/log/placement.log,9853
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_209_100/VexiiRiscv_209_100_build/log/cts.log,10160
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_209_100/VexiiRiscv_209_100_build/log/read_rtl.log,109
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_209_100/VexiiRiscv_209_100_build/log/floorplan.log,2493
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_246_100/VexiiRiscv_246_100_build/log/chipfinish.log,3939
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_246_100/VexiiRiscv_246_100_build/log/route.log,26652
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_246_100/VexiiRiscv_246_100_build/log/placement.log,15403
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_246_100/VexiiRiscv_246_100_build/log/cts.log,15305
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_246_100/VexiiRiscv_246_100_build/log/read_rtl.log,124
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_246_100/VexiiRiscv_246_100_build/log/floorplan.log,3382
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_272_100/VexiiRiscv_272_100_build/log/placement.log,7258
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_272_100/VexiiRiscv_272_100_build/log/read_rtl.log,177
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_272_100/VexiiRiscv_272_100_build/log/floorplan.log,1770
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_135_100/VexiiRiscv_135_100_build/log/chipfinish.log,13277
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_135_100/VexiiRiscv_135_100_build/log/route.log,80113
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_135_100/VexiiRiscv_135_100_build/log/placement.log,44741
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_135_100/VexiiRiscv_135_100_build/log/cts.log,63335
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_135_100/VexiiRiscv_135_100_build/log/read_rtl.log,303
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_135_100/VexiiRiscv_135_100_build/log/floorplan.log,8926
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_370_100/VexiiRiscv_370_100_build/log/placement.log,6819
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_370_100/VexiiRiscv_370_100_build/log/read_rtl.log,197
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_370_100/VexiiRiscv_370_100_build/log/floorplan.log,1832
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_168_100/VexiiRiscv_168_100_build/log/placement.log,6108
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_168_100/VexiiRiscv_168_100_build/log/read_rtl.log,179
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_168_100/VexiiRiscv_168_100_build/log/floorplan.log,1637
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_196_100/VexiiRiscv_196_100_build/log/chipfinish.log,7791
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_196_100/VexiiRiscv_196_100_build/log/route.log,47492
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_196_100/VexiiRiscv_196_100_build/log/placement.log,26862
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_196_100/VexiiRiscv_196_100_build/log/cts.log,35807
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_196_100/VexiiRiscv_196_100_build/log/read_rtl.log,329
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_196_100/VexiiRiscv_196_100_build/log/floorplan.log,6315
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_371_100/VexiiRiscv_371_100_build/log/chipfinish.log,2070
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_371_100/VexiiRiscv_371_100_build/log/route.log,14195
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_371_100/VexiiRiscv_371_100_build/log/placement.log,9352
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_371_100/VexiiRiscv_371_100_build/log/cts.log,9442
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_371_100/VexiiRiscv_371_100_build/log/read_rtl.log,401
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_371_100/VexiiRiscv_371_100_build/log/floorplan.log,3401
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_327_100/VexiiRiscv_327_100_build/log/chipfinish.log,6379
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_327_100/VexiiRiscv_327_100_build/log/route.log,41839
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_327_100/VexiiRiscv_327_100_build/log/placement.log,21705
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_327_100/VexiiRiscv_327_100_build/log/cts.log,33461
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_327_100/VexiiRiscv_327_100_build/log/read_rtl.log,261
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_327_100/VexiiRiscv_327_100_build/log/floorplan.log,5439
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_336_100/VexiiRiscv_336_100_build/log/chipfinish.log,2255
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_336_100/VexiiRiscv_336_100_build/log/route.log,18437
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_336_100/VexiiRiscv_336_100_build/log/placement.log,8862
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_336_100/VexiiRiscv_336_100_build/log/cts.log,30536
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_336_100/VexiiRiscv_336_100_build/log/read_rtl.log,201
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_336_100/VexiiRiscv_336_100_build/log/floorplan.log,2155
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_114_100/VexiiRiscv_114_100_build/log/chipfinish.log,1776
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_114_100/VexiiRiscv_114_100_build/log/route.log,11242
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_114_100/VexiiRiscv_114_100_build/log/placement.log,8111
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_114_100/VexiiRiscv_114_100_build/log/cts.log,8096
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_114_100/VexiiRiscv_114_100_build/log/read_rtl.log,33
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_114_100/VexiiRiscv_114_100_build/log/floorplan.log,1829
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_113_100/VexiiRiscv_113_100_build/log/chipfinish.log,964
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_113_100/VexiiRiscv_113_100_build/log/route.log,6071
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_113_100/VexiiRiscv_113_100_build/log/placement.log,4701
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_113_100/VexiiRiscv_113_100_build/log/cts.log,4360
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_113_100/VexiiRiscv_113_100_build/log/read_rtl.log,23
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_113_100/VexiiRiscv_113_100_build/log/floorplan.log,1015
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_322_100/VexiiRiscv_322_100_build/log/chipfinish.log,2088
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_322_100/VexiiRiscv_322_100_build/log/route.log,12230
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_322_100/VexiiRiscv_322_100_build/log/placement.log,8866
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_322_100/VexiiRiscv_322_100_build/log/cts.log,9348
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_322_100/VexiiRiscv_322_100_build/log/read_rtl.log,107
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_322_100/VexiiRiscv_322_100_build/log/floorplan.log,2032
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_295_100/VexiiRiscv_295_100_build/log/chipfinish.log,642
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_295_100/VexiiRiscv_295_100_build/log/route.log,4338
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_295_100/VexiiRiscv_295_100_build/log/placement.log,3404
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_295_100/VexiiRiscv_295_100_build/log/cts.log,3686
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_295_100/VexiiRiscv_295_100_build/log/read_rtl.log,22
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_295_100/VexiiRiscv_295_100_build/log/floorplan.log,762
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_89_100/VexiiRiscv_89_100_build/log/chipfinish.log,2471
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_89_100/VexiiRiscv_89_100_build/log/route.log,15541
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_89_100/VexiiRiscv_89_100_build/log/placement.log,10024
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_89_100/VexiiRiscv_89_100_build/log/cts.log,11222
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_89_100/VexiiRiscv_89_100_build/log/read_rtl.log,116
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_89_100/VexiiRiscv_89_100_build/log/floorplan.log,2356
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_155_100/VexiiRiscv_155_100_build/log/chipfinish.log,3031
